Zipcode,ZipCodeType,City,State,LocationType
10278,STANDARD,MANHATTAN,NY,NOT ACCEPTABLE
10278,STANDARD,NYC,NY,NOT ACCEPTABLE
10279,STANDARD,NEW YORK,NY,PRIMARY
10279,STANDARD,MANHATTAN,NY,NOT ACCEPTABLE
10279,STANDARD,NYC,NY,NOT ACCEPTABLE
10280,STANDARD,NEW YORK,NY,PRIMARY
10280,STANDARD,MANHATTAN,NY,NOT ACCEPTABLE
10280,STANDARD,NYC,NY,NOT ACCEPTABLE
10281,STANDARD,NEW YORK,NY,PRIMARY
10281,STANDARD,MANHATTAN,NY,NOT ACCEPTABLE
10281,STANDARD,NYC,NY,NOT ACCEPTABLE
10282,STANDARD,NEW YORK,NY,PRIMARY
10282,STANDARD,MANHATTAN,NY,NOT ACCEPTABLE
10282,STANDARD,NYC,NY,NOT ACCEPTABLE
10285,UNIQUE,NEW YORK,NY,PRIMARY
10285,UNIQUE,SHEARSON AMERICAN EXPRESS,NY,NOT ACCEPTABLE
10286,UNIQUE,NEW YORK,NY,PRIMARY
10286,UNIQUE,BANK OF NEW YORK,NY,NOT ACCEPTABLE
10286,UNIQUE,MANHATTAN,NY,NOT ACCEPTABLE
10286,UNIQUE,NY,NY,NOT ACCEPTABLE
10286,UNIQUE,NYC,NY,NOT ACCEPTABLE
10292,UNIQUE,NEW YORK,NY,PRIMARY
10292,UNIQUE,BACHE HALSEY STUART SHIELDS,NY,NOT ACCEPTABLE
10301,STANDARD,STATEN ISLAND,NY,PRIMARY
10302,STANDARD,STATEN ISLAND,NY,PRIMARY
10303,STANDARD,STATEN ISLAND,NY,PRIMARY
10304,STANDARD,STATEN ISLAND,NY,PRIMARY
10305,STANDARD,STATEN ISLAND,NY,PRIMARY
10306,STANDARD,STATEN ISLAND,NY,PRIMARY
10307,STANDARD,STATEN ISLAND,NY,PRIMARY
10308,STANDARD,STATEN ISLAND,NY,PRIMARY
10309,STANDARD,STATEN ISLAND,NY,PRIMARY
10310,STANDARD,STATEN ISLAND,NY,PRIMARY
